"T3.5.Ano","T3.5.Sexo","T3.5.Edad","T3.5.Moda"
"2007","Ambos Sexos","49.09025","49.10363"
"2007","Hombre","50.76810","56.70235"
"2007","Mujer","46.95918","51.33909"
"2008","Ambos Sexos","49.01750","50.37420"
"2008","Hombre","50.60748","51.97768"
"2008","Mujer","47.01220","53.48115"
"2009","Ambos Sexos","48.93600","51.22456"
"2009","Hombre","50.41961","54.08646"
"2009","Mujer","47.09105","54.87257"
"2010","Ambos Sexos","48.29579","52.03477"
"2010","Hombre","49.76002","55.77642"
"2010","Mujer","46.50211","56.74163"
"2011","Ambos Sexos","48.06442","53.27176"
"2011","Hombre","49.66860","57.44558"
"2011","Mujer","46.16011","58.14554"
"2012","Ambos Sexos","48.27761","54.06909"
"2012","Hombre","49.87737","59.16316"
"2012","Mujer","46.39203","59.16079"
"2013","Ambos Sexos","48.53381","54.94221"
"2013","Hombre","50.00916","57.52993"
"2013","Mujer","46.82488","57.19058"
"2014","Ambos Sexos","48.65938","55.93971"
"2014","Hombre","50.06088","55.16886"
"2014","Mujer","47.06544","56.17376"
"2015","Ambos Sexos","48.72276","57.14004"
"2015","Hombre","50.08124","57.12201"
"2015","Mujer","47.20296","57.03946"
"2016","Ambos Sexos","48.93025","57.51848"
"2016","Hombre","50.05022","57.66046"
"2016","Mujer","47.66907","47.17206"
"2017","Ambos Sexos","48.65049","56.90747"
"2017","Hombre","49.74221","48.48096"
"2017","Mujer","47.42529","49.89877"
"2018","Ambos Sexos","48.15429","55.63418"
"2018","Hombre","49.25294","50.37308"
"2018","Mujer","46.94835","51.46252"
"2019","Ambos Sexos","47.94799","52.42874"
"2019","Hombre","49.00812","52.09463"
"2019","Mujer","46.80520","52.98550"
"2020","Ambos Sexos","48.12316","54.25992"
"2020","Hombre","49.09545","54.21934"
"2020","Mujer","47.08287","54.15053"
"2021","Ambos Sexos","47.64241","54.90794"
"2021","Hombre","48.68251","53.87461"
"2021","Mujer","46.56527","52.55210"
"2022","Ambos Sexos","47.28835","55.24845"
"2022","Hombre","48.24746","53.21704"
"2022","Mujer","46.31874","53.19940"
"2023","Ambos Sexos","47.24669","47.49612"
"2023","Hombre","48.11534","53.71915"
"2023","Mujer","46.37613","46.99324"
"2024","Ambos Sexos","47.55921","47.65053"
"2024","Hombre","48.34243","47.32350"
"2024","Mujer","46.78299","48.16918"
"2025","Ambos Sexos","47.53087","48.65045"
"2025","Hombre","48.26835","48.55241"
"2025","Mujer","46.81251","49.55251"
